n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
3,DTLZ1,igd,IGD+,0.02538533237324372,1
3,DTLZ1,igd,R2,2.1569884120924022e-27,1
3,DTLZ1,igd+,EPS+,1.6286149213221973e-17,1
3,DTLZ1,igd+,IGD+,0.7765535633716474,0
3,DTLZ1,igd+,R2,0.030036117291477323,1
3,DTLZ1,r2,EPS+,0.020223358636839286,1
3,DTLZ1,r2,IGD+,0.24800128049614492,0
3,DTLZ1,r2,R2,2.5098321208138634e-21,1
3,DTLZ1,s-energy,EPS+,2.371964260548377e-28,1
3,DTLZ1,s-energy,IGD+,0.3932583307895661,0
3,DTLZ1,s-energy,R2,7.486896536764641e-25,1
3,DTLZ1,spd,EPS+,8.698932029067026e-25,1
3,DTLZ1,spd,IGD+,0.595132779505707,0
3,DTLZ1,spd,R2,3.556275552038048e-13,1
3,DTLZ2,eps+,EPS+,0.0023812670652435166,1
3,DTLZ2,eps+,IGD+,0.29180489921222874,0
3,DTLZ2,eps+,R2,0.004804952978983637,1
3,DTLZ2,hv,EPS+,1.606706127941077e-14,1
3,DTLZ2,hv,IGD+,4.939550982393885e-22,1
3,DTLZ2,hv,R2,7.249197183268239e-28,1
3,DTLZ2,igd,EPS+,1.4203075513234509e-30,1
3,DTLZ2,igd,IGD+,1.9043833714869152e-16,1
3,DTLZ2,igd,R2,4.329470580811337e-06,1
3,DTLZ2,igd+,EPS+,5.257473833019713e-10,1
3,DTLZ2,igd+,IGD+,1.6867620755046716e-15,1
3,DTLZ2,igd+,R2,4.207978799226037e-24,1
3,DTLZ2,r2,EPS+,1.5880221733220448e-29,1
3,DTLZ2,r2,IGD+,2.0617429324471571e-07,1
3,DTLZ2,r2,R2,0.22367181681149945,0
3,DTLZ2,s-energy,EPS+,1.712790642088817e-32,1
3,DTLZ2,s-energy,IGD+,2.5881658260477253e-31,1
3,DTLZ2,s-energy,R2,3.715157375082327e-28,1
3,DTLZ2,spd,EPS+,6.210553110967104e-31,1
3,DTLZ2,spd,IGD+,5.904568380465503e-19,1
3,DTLZ2,spd,R2,2.3432118508827666e-29,1
