n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
3,DTLZ7,igd,IGD+,0.29242391984588567,0
3,DTLZ7,igd,R2,0.7081759494721875,0
3,DTLZ7,igd+,IGD+,0.0073627123654515444,1
3,DTLZ7,igd+,R2,0.7997632817866112,0
3,DTLZ7,r2,IGD+,0.1128238112367579,0
3,DTLZ7,r2,R2,0.5252157042926542,0
3,DTLZ7,s-energy,IGD+,0.6075346136757329,0
3,DTLZ7,s-energy,R2,0.3660801754713591,0
3,DTLZ7,spd,IGD+,0.8850229903188622,0
3,DTLZ7,spd,R2,0.6819482899992684,0
3,WFG1,eps+,IGD+,3.606351532501685e-05,1
3,WFG1,eps+,R2,0.015884041839161343,1
3,WFG1,hv,IGD+,0.008253104401659005,1
3,WFG1,hv,R2,0.00029538183103752487,1
3,WFG1,igd,IGD+,0.002933365260987079,1
3,WFG1,igd,R2,6.246923076563954e-05,1
3,WFG1,igd+,IGD+,0.004178906717977942,1
3,WFG1,igd+,R2,8.010265490684495e-05,1
3,WFG1,r2,IGD+,0.011296396831699028,1
3,WFG1,r2,R2,0.6655012018301915,0
3,WFG1,s-energy,IGD+,0.1374555415374606,0
3,WFG1,s-energy,R2,0.6579966278966629,0
3,WFG1,spd,IGD+,0.16888520571125407,0
3,WFG1,spd,R2,0.7606118869464875,0
3,WFG2,eps+,IGD+,0.04049422767374154,1
3,WFG2,eps+,R2,0.2546630914367433,0
3,WFG2,hv,IGD+,0.40612800157256457,0
3,WFG2,hv,R2,0.11052585569428726,0
3,WFG2,igd,IGD+,0.49125109121481536,0
3,WFG2,igd,R2,0.3490822482455739,0
3,WFG2,igd+,IGD+,0.0735632078781476,0
3,WFG2,igd+,R2,0.16169440878219607,0
3,WFG2,r2,IGD+,0.3660801754713591,0
3,WFG2,r2,R2,0.3646444313050948,0
3,WFG2,s-energy,IGD+,0.7708337087158517,0
3,WFG2,s-energy,R2,0.04776335031404532,1
3,WFG2,spd,IGD+,0.8983451559470599,0
3,WFG2,spd,R2,0.5183573801131488,0
3,WFG3,eps+,IGD+,0.03757737241730289,1
3,WFG3,eps+,R2,0.5149747331831619,0
3,WFG3,hv,IGD+,0.6270608793359845,0
3,WFG3,hv,R2,0.5564741519612408,0
3,WFG3,igd,IGD+,0.7559379344600048,0
3,WFG3,igd,R2,0.8603460529600582,0
3,WFG3,igd+,IGD+,0.0604068387619801,0
3,WFG3,igd+,R2,0.7204126162670599,0
