n_objetivos,problema,indicador,hiperparam_ind_conv,,0.001,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.999
2,DTLZ1,igd,IGD+,0.1,6.628885e-01,nan,9.336367e-01,9.053259e-01,8.528738e-01,8.058119e-01,9.384537e-01,6.079369e-01,1.386776e-01,5.072823e-01,8.613224e-01
2,DTLZ1,igd,IGD+,0.2,1.386776e-01,7.145309e-02,nan,1.649914e-01,2.729378e-01,2.045488e-01,4.636393e-01,2.202702e-02,2.422047e-02,1.152563e-01,2.152166e-01
2,DTLZ1,igd,IGD+,0.3,6.357470e-01,1.012249e-01,8.441029e-01,nan,8.350086e-01,6.892433e-01,9.285469e-01,5.072823e-01,1.941881e-01,4.204111e-01,7.020903e-01
2,DTLZ1,igd,IGD+,0.4,2.490044e-01,1.558971e-01,7.391634e-01,1.744051e-01,nan,3.107567e-01,8.350086e-01,2.912903e-02,2.658463e-02,1.941881e-01,5.508413e-01
2,DTLZ1,igd,IGD+,0.5,6.357470e-01,2.045488e-01,8.058119e-01,3.238277e-01,7.020903e-01,nan,9.513464e-01,2.045488e-01,8.842659e-02,4.636393e-01,6.494093e-01
2,DTLZ1,igd,IGD+,0.6,8.247852e-02,6.636333e-02,5.508413e-01,7.682323e-02,1.744051e-01,5.269909e-02,nan,1.074219e-02,8.590698e-03,3.479004e-02,1.471262e-01
2,DTLZ1,igd,IGD+,0.7,6.628885e-01,4.061775e-01,9.800053e-01,5.072823e-01,9.734154e-01,8.058119e-01,9.903831e-01,nan,2.152166e-01,5.938225e-01,9.231768e-01
2,DTLZ1,igd,IGD+,0.8,8.919163e-01,8.694506e-01,9.779730e-01,8.158617e-01,9.757795e-01,9.175215e-01,9.923439e-01,7.954512e-01,nan,8.255949e-01,9.734154e-01
2,DTLZ1,igd,IGD+,0.9,7.147017e-01,5.072823e-01,8.919163e-01,5.938225e-01,8.158617e-01,5.508413e-01,9.681387e-01,4.204111e-01,1.841383e-01,nan,7.954512e-01
2,DTLZ1,igd,IGD+,0.999,3.238277e-01,1.471262e-01,7.954512e-01,3.107567e-01,4.636393e-01,3.642530e-01,8.613224e-01,8.247852e-02,2.912903e-02,2.152166e-01,nan
