hiperparam_ind_conv,problema,n_objetivos,indicador,Medias_Distintas
IGD+,DTLZ6,4,eps+,0.0
R2,DTLZ6,4,eps+,0.0
IGD+,DTLZ6,4,hv,0.0
R2,DTLZ6,4,hv,0.0
IGD+,DTLZ6,4,igd,0.0
R2,DTLZ6,4,igd,0.0
IGD+,DTLZ6,4,igd+,0.0
R2,DTLZ6,4,igd+,0.0
IGD+,DTLZ6,4,r2,0.0
R2,DTLZ6,4,r2,0.0
IGD+,DTLZ6,4,s-energy,0.0
R2,DTLZ6,4,s-energy,1.0
IGD+,DTLZ6,4,spd,0.0
R2,DTLZ6,4,spd,0.0
IGD+,DTLZ7,4,eps+,0.0
R2,DTLZ7,4,eps+,0.0
IGD+,DTLZ7,4,hv,1.0
R2,DTLZ7,4,hv,0.0
IGD+,DTLZ7,4,igd,0.0
R2,DTLZ7,4,igd,0.0
IGD+,DTLZ7,4,igd+,1.0
R2,DTLZ7,4,igd+,0.0
IGD+,DTLZ7,4,r2,0.0
R2,DTLZ7,4,r2,0.0
IGD+,DTLZ7,4,s-energy,0.0
R2,DTLZ7,4,s-energy,0.0
IGD+,DTLZ7,4,spd,0.0
R2,DTLZ7,4,spd,0.0
IGD+,WFG1,4,eps+,0.0
R2,WFG1,4,eps+,0.0
IGD+,WFG1,4,hv,0.0
R2,WFG1,4,hv,0.0
IGD+,WFG1,4,igd,0.0
R2,WFG1,4,igd,0.0
IGD+,WFG1,4,igd+,0.0
R2,WFG1,4,igd+,0.0
IGD+,WFG1,4,r2,0.0
R2,WFG1,4,r2,0.0
IGD+,WFG1,4,s-energy,0.0
R2,WFG1,4,s-energy,0.0
IGD+,WFG1,4,spd,0.0
R2,WFG1,4,spd,0.0
IGD+,WFG2,4,eps+,0.0
R2,WFG2,4,eps+,0.0
IGD+,WFG2,4,hv,0.0
R2,WFG2,4,hv,0.0
IGD+,WFG2,4,igd,0.0
R2,WFG2,4,igd,0.0
IGD+,WFG2,4,igd+,0.0
R2,WFG2,4,igd+,0.0
IGD+,WFG2,4,r2,0.0
R2,WFG2,4,r2,0.0
IGD+,WFG2,4,s-energy,0.0
R2,WFG2,4,s-energy,0.0
IGD+,WFG2,4,spd,0.0
R2,WFG2,4,spd,0.0
IGD+,WFG3,4,eps+,0.0
R2,WFG3,4,eps+,0.0
IGD+,WFG3,4,hv,0.0
R2,WFG3,4,hv,0.0
IGD+,WFG3,4,igd,0.0
R2,WFG3,4,igd,0.0
IGD+,WFG3,4,igd+,0.0
R2,WFG3,4,igd+,0.0
IGD+,WFG3,4,r2,1.0
R2,WFG3,4,r2,0.0
IGD+,WFG3,4,s-energy,0.0
R2,WFG3,4,s-energy,0.0
IGD+,WFG3,4,spd,0.0
R2,WFG3,4,spd,0.0
IGD+,WFG4,4,eps+,0.0
R2,WFG4,4,eps+,1.0
IGD+,WFG4,4,hv,1.0
R2,WFG4,4,hv,0.0
IGD+,WFG4,4,igd,1.0
R2,WFG4,4,igd,0.0
IGD+,WFG4,4,igd+,1.0
R2,WFG4,4,igd+,0.0
IGD+,WFG4,4,r2,1.0
R2,WFG4,4,r2,0.0
IGD+,WFG4,4,s-energy,0.0
R2,WFG4,4,s-energy,0.0
IGD+,WFG4,4,spd,0.0
R2,WFG4,4,spd,0.0
IGD+,WFG5,4,eps+,0.0
R2,WFG5,4,eps+,0.0
IGD+,WFG5,4,hv,1.0
R2,WFG5,4,hv,0.0
IGD+,WFG5,4,igd,1.0
R2,WFG5,4,igd,0.0
IGD+,WFG5,4,igd+,1.0
R2,WFG5,4,igd+,0.0
IGD+,WFG5,4,r2,0.0
R2,WFG5,4,r2,0.0
IGD+,WFG5,4,s-energy,1.0
R2,WFG5,4,s-energy,0.0
IGD+,WFG5,4,spd,1.0
R2,WFG5,4,spd,0.0
IGD+,WFG6,4,eps+,0.0
R2,WFG6,4,eps+,0.0
IGD+,WFG6,4,hv,1.0
R2,WFG6,4,hv,0.0
IGD+,WFG6,4,igd,1.0
R2,WFG6,4,igd,0.0
IGD+,WFG6,4,igd+,1.0
R2,WFG6,4,igd+,0.0
IGD+,WFG6,4,r2,1.0
R2,WFG6,4,r2,0.0
IGD+,WFG6,4,s-energy,0.0
R2,WFG6,4,s-energy,0.0
IGD+,WFG6,4,spd,0.0
R2,WFG6,4,spd,0.0
IGD+,WFG7,4,eps+,0.0
R2,WFG7,4,eps+,0.0
IGD+,WFG7,4,hv,1.0
R2,WFG7,4,hv,0.0
IGD+,WFG7,4,igd,1.0
R2,WFG7,4,igd,0.0
IGD+,WFG7,4,igd+,1.0
R2,WFG7,4,igd+,0.0
IGD+,WFG7,4,r2,1.0
R2,WFG7,4,r2,0.0
IGD+,WFG7,4,s-energy,1.0
R2,WFG7,4,s-energy,0.0
IGD+,WFG7,4,spd,1.0
R2,WFG7,4,spd,0.0
